Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1M population,Deaths/1M population,Total Tests,Tests/1M population,Population,location,date,vaccine,total_vaccinations
USA,45313353,734611.0,34797165.0,9781577.0,135880,2203.0,659963506.0,1979022.0,333479557,United States,2021-10-01,Pfizer/BioNTech,226714560
USA,45313353,734611.0,34797165.0,9781577.0,135880,2203.0,659963506.0,1979022.0,333479557,United States,2021-10-01,Moderna,151622624
Germany,4334254,95087.0,4106300.0,132867.0,51521,1130.0,73348901.0,871894.0,84125917,Germany,2021-10-01,Pfizer/BioNTech,82531243
France,7057631,117082.0,6847617.0,92932.0,107819,1789.0,146046715.0,2231155.0,65457901,France,2021-10-01,Pfizer/BioNTech,75851493
Italy,4701832,131335.0,4486391.0,84106.0,77912,2176.0,95445947.0,1581585.0,60348285,Italy,2021-10-01,Pfizer/BioNTech,60679056
Spain,4977448,86827.0,4816194.0,74427.0,106406,1856.0,66213858.0,1415494.0,46777901,Spain,2021-10-01,Pfizer/BioNTech,45761253
Poland,2923304,75869.0,2669688.0,177747.0,77349,2007.0,21291251.0,563355.0,37793676,Poland,2021-10-01,Pfizer/BioNTech,25670314
Chile,1663383,37571.0,1617035.0,8777.0,86072,1944.0,22435648.0,1160933.0,19325528,Chile,2021-10-01,Sinovac,20789353
Netherlands,2026402,18209.0,1950623.0,57570.0,117929,1060.0,17632552.0,1026146.0,17183273,Netherlands,2021-10-01,Pfizer/BioNTech,16830205
USA,45313353,734611.0,34797165.0,9781577.0,135880,2203.0,659963506.0,1979022.0,333479557,United States,2021-10-01,Johnson&Johnson,15022960
Germany,4334254,95087.0,4106300.0,132867.0,51521,1130.0,73348901.0,871894.0,84125917,Germany,2021-10-01,Oxford/AstraZeneca,12693860
Italy,4701832,131335.0,4486391.0,84106.0,77912,2176.0,95445947.0,1581585.0,60348285,Italy,2021-10-01,Oxford/AstraZeneca,12149289
Belgium,1266562,25695.0,1181547.0,59320.0,108680,2205.0,20515224.0,1760359.0,11654000,Belgium,2021-10-01,Pfizer/BioNTech,10907781
Italy,4701832,131335.0,4486391.0,84106.0,77912,2176.0,95445947.0,1581585.0,60348285,Italy,2021-10-01,Moderna,10717958
France,7057631,117082.0,6847617.0,92932.0,107819,1789.0,146046715.0,2231155.0,65457901,France,2021-10-01,Moderna,10487444
Sweden,1157822,14864.0,1124661.0,18297.0,113739,1460.0,12743845.0,1251898.0,10179622,Sweden,2021-10-01,Pfizer/BioNTech,10279797
Czechia,1700078,30504.0,1659115.0,10459.0,158377,2842.0,38859317.0,3620092.0,10734345,Czechia,2021-10-01,Pfizer/BioNTech,9789907
Spain,4977448,86827.0,4816194.0,74427.0,106406,1856.0,66213858.0,1415494.0,46777901,Spain,2021-10-01,Oxford/AstraZeneca,9776264
Portugal,1075639,18048.0,1027424.0,30167.0,105883,1777.0,19023656.0,1872640.0,10158735,Portugal,2021-10-01,Pfizer/BioNTech,9764460
Germany,4334254,95087.0,4106300.0,132867.0,51521,1130.0,73348901.0,871894.0,84125917,Germany,2021-10-01,Moderna,9674793
Spain,4977448,86827.0,4816194.0,74427.0,106406,1856.0,66213858.0,1415494.0,46777901,Spain,2021-10-01,Moderna,8288685
Romania,1365788,39629.0,1177704.0,148455.0,71606,2078.0,13504117.0,707996.0,19073726,Romania,2021-10-01,Pfizer/BioNTech,7909195
France,7057631,117082.0,6847617.0,92932.0,107819,1789.0,146046715.0,2231155.0,65457901,France,2021-10-01,Oxford/AstraZeneca,7790278
Austria,762538,11106.0,731698.0,19734.0,84054,1224.0,90613959.0,9988338.0,9071976,Austria,2021-10-01,Pfizer/BioNTech,7534437
Denmark,364464,2671.0,354696.0,7097.0,62642,459.0,84336941.0,14495272.0,5818238,Denmark,2021-10-01,Pfizer/BioNTech,7461796
Chile,1663383,37571.0,1617035.0,8777.0,86072,1944.0,22435648.0,1160933.0,19325528,Chile,2021-10-01,Pfizer/BioNTech,7302667
Switzerland,850679,11146.0,796932.0,42601.0,97383,1276.0,11212163.0,1283535.0,8735375,Switzerland,2021-10-01,Moderna,6904264
Finland,147297,1100.0,46000.0,100197.0,26532,198.0,7202399.0,1297330.0,5551709,Finland,2021-10-01,Pfizer/BioNTech,5933282
Norway,193734,871.0,88952.0,103911.0,35383,159.0,7969322.0,1455498.0,5475323,Norway,2021-10-01,Pfizer/BioNTech,5876148
Hong Kong,12269,213.0,11953.0,103.0,1620,28.0,25587465.0,3378072.0,7574576,Hong Kong,2021-10-01,Pfizer/BioNTech,5540337
Poland,2923304,75869.0,2669688.0,177747.0,77349,2007.0,21291251.0,563355.0,37793676,Poland,2021-10-01,Oxford/AstraZeneca,5280136
Hungary,829456,30303.0,789010.0,10143.0,86141,3147.0,7071702.0,734415.0,9629021,Hungary,2021-10-01,Pfizer/BioNTech,4744215
Ireland,404514,5280.0,360033.0,39201.0,80772,1054.0,7616896.0,1520908.0,5008123,Ireland,2021-10-01,Pfizer/BioNTech,4705308
Switzerland,850679,11146.0,796932.0,42601.0,97383,1276.0,11212163.0,1283535.0,8735375,Switzerland,2021-10-01,Pfizer/BioNTech,3577066
Uruguay,390115,6064.0,382736.0,1315.0,111810,1738.0,3659251.0,1048767.0,3489097,Uruguay,2021-10-01,Sinovac,3245944
Germany,4334254,95087.0,4106300.0,132867.0,51521,1130.0,73348901.0,871894.0,84125917,Germany,2021-10-01,Johnson&Johnson,3198032
Hong Kong,12269,213.0,11953.0,103.0,1620,28.0,25587465.0,3378072.0,7574576,Hong Kong,2021-10-01,Sinovac,3152002
Slovakia,425971,12735.0,395874.0,17362.0,77974,2331.0,3696429.0,676628.0,5463019,Slovakia,2021-10-01,Pfizer/BioNTech,3138257
Poland,2923304,75869.0,2669688.0,177747.0,77349,2007.0,21291251.0,563355.0,37793676,Poland,2021-10-01,Moderna,3034338
Belgium,1266562,25695.0,1181547.0,59320.0,108680,2205.0,20515224.0,1760359.0,11654000,Belgium,2021-10-01,Oxford/AstraZeneca,2833030
Netherlands,2026402,18209.0,1950623.0,57570.0,117929,1060.0,17632552.0,1026146.0,17183273,Netherlands,2021-10-01,Oxford/AstraZeneca,2801018
Croatia,418028,8778.0,400965.0,8285.0,102636,2155.0,2916030.0,715955.0,4072923,Croatia,2021-10-01,Pfizer/BioNTech,2449242
Portugal,1075639,18048.0,1027424.0,30167.0,105883,1777.0,19023656.0,1872640.0,10158735,Portugal,2021-10-01,Oxford/AstraZeneca,2206409
Hungary,829456,30303.0,789010.0,10143.0,86141,3147.0,7071702.0,734415.0,9629021,Hungary,2021-10-01,Sinopharm/Beijing,2106695
Lithuania,353289,5248.0,317054.0,30987.0,132133,1963.0,5177576.0,1936461.0,2673731,Lithuania,2021-10-01,Pfizer/BioNTech,2092130
Poland,2923304,75869.0,2669688.0,177747.0,77349,2007.0,21291251.0,563355.0,37793676,Poland,2021-10-01,Johnson&Johnson,1999363
Uruguay,390115,6064.0,382736.0,1315.0,111810,1738.0,3659251.0,1048767.0,3489097,Uruguay,2021-10-01,Pfizer/BioNTech,1975498
Netherlands,2026402,18209.0,1950623.0,57570.0,117929,1060.0,17632552.0,1026146.0,17183273,Netherlands,2021-10-01,Moderna,1966697
Spain,4977448,86827.0,4816194.0,74427.0,106406,1856.0,66213858.0,1415494.0,46777901,Spain,2021-10-01,Johnson&Johnson,1963835
Portugal,1075639,18048.0,1027424.0,30167.0,105883,1777.0,19023656.0,1872640.0,10158735,Portugal,2021-10-01,Moderna,1936016
Hungary,829456,30303.0,789010.0,10143.0,86141,3147.0,7071702.0,734415.0,9629021,Hungary,2021-10-01,Sputnik V,1805110
Sweden,1157822,14864.0,1124661.0,18297.0,113739,1460.0,12743845.0,1251898.0,10179622,Sweden,2021-10-01,Moderna,1710041
Austria,762538,11106.0,731698.0,19734.0,84054,1224.0,90613959.0,9988338.0,9071976,Austria,2021-10-01,Oxford/AstraZeneca,1596930
Bulgaria,524333,21813.0,450662.0,51858.0,76193,3170.0,4990220.0,725153.0,6881611,Bulgaria,2021-10-01,Pfizer/BioNTech,1555083
Norway,193734,871.0,88952.0,103911.0,35383,159.0,7969322.0,1455498.0,5475323,Norway,2021-10-01,Moderna,1520464
Italy,4701832,131335.0,4486391.0,84106.0,77912,2176.0,95445947.0,1581585.0,60348285,Italy,2021-10-01,Johnson&Johnson,1477277
Belgium,1266562,25695.0,1181547.0,59320.0,108680,2205.0,20515224.0,1760359.0,11654000,Belgium,2021-10-01,Moderna,1332351
Sweden,1157822,14864.0,1124661.0,18297.0,113739,1460.0,12743845.0,1251898.0,10179622,Sweden,2021-10-01,Oxford/AstraZeneca,1329940
Slovenia,301644,4617.0,285345.0,11682.0,145070,2220.0,1621682.0,779916.0,2079303,Slovenia,2021-10-01,Pfizer/BioNTech,1322494
Hungary,829456,30303.0,789010.0,10143.0,86141,3147.0,7071702.0,734415.0,9629021,Hungary,2021-10-01,Oxford/AstraZeneca,1244840
Ireland,404514,5280.0,360033.0,39201.0,80772,1054.0,7616896.0,1520908.0,5008123,Ireland,2021-10-01,Oxford/AstraZeneca,1189358
Denmark,364464,2671.0,354696.0,7097.0,62642,459.0,84336941.0,14495272.0,5818238,Denmark,2021-10-01,Moderna,1176757
Portugal,1075639,18048.0,1027424.0,30167.0,105883,1777.0,19023656.0,1872640.0,10158735,Portugal,2021-10-01,Johnson&Johnson,1121787
France,7057631,117082.0,6847617.0,92932.0,107819,1789.0,146046715.0,2231155.0,65457901,France,2021-10-01,Johnson&Johnson,1042067
Austria,762538,11106.0,731698.0,19734.0,84054,1224.0,90613959.0,9988338.0,9071976,Austria,2021-10-01,Moderna,1024938
Latvia,172278,2806.0,152102.0,17370.0,92645,1509.0,4559609.0,2452003.0,1859545,Latvia,2021-10-01,Pfizer/BioNTech,999514
Czechia,1700078,30504.0,1659115.0,10459.0,158377,2842.0,38859317.0,3620092.0,10734345,Czechia,2021-10-01,Moderna,921461
Estonia,165345,1400.0,149555.0,14390.0,124537,1054.0,1982689.0,1493355.0,1327674,Estonia,2021-10-01,Pfizer/BioNTech,914311
Czechia,1700078,30504.0,1659115.0,10459.0,158377,2842.0,38859317.0,3620092.0,10734345,Czechia,2021-10-01,Oxford/AstraZeneca,881490
Romania,1365788,39629.0,1177704.0,148455.0,71606,2078.0,13504117.0,707996.0,19073726,Romania,2021-10-01,Oxford/AstraZeneca,848157
Slovakia,425971,12735.0,395874.0,17362.0,77974,2331.0,3696429.0,676628.0,5463019,Slovakia,2021-10-01,Oxford/AstraZeneca,841037
Netherlands,2026402,18209.0,1950623.0,57570.0,117929,1060.0,17632552.0,1026146.0,17183273,Netherlands,2021-10-01,Johnson&Johnson,828112
Finland,147297,1100.0,46000.0,100197.0,26532,198.0,7202399.0,1297330.0,5551709,Finland,2021-10-01,Moderna,819402
Romania,1365788,39629.0,1177704.0,148455.0,71606,2078.0,13504117.0,707996.0,19073726,Romania,2021-10-01,Johnson&Johnson,796578
Cyprus,119812,560.0,90755.0,28497.0,98322,460.0,9420908.0,7731099.0,1218573,Cyprus,2021-10-01,Pfizer/BioNTech,755486
Romania,1365788,39629.0,1177704.0,148455.0,71606,2078.0,13504117.0,707996.0,19073726,Romania,2021-10-01,Moderna,741546
Hungary,829456,30303.0,789010.0,10143.0,86141,3147.0,7071702.0,734415.0,9629021,Hungary,2021-10-01,Moderna,685922
Ireland,404514,5280.0,360033.0,39201.0,80772,1054.0,7616896.0,1520908.0,5008123,Ireland,2021-10-01,Moderna,568645
Chile,1663383,37571.0,1617035.0,8777.0,86072,1944.0,22435648.0,1160933.0,19325528,Chile,2021-10-01,CanSino,567420
Finland,147297,1100.0,46000.0,100197.0,26532,198.0,7202399.0,1297330.0,5551709,Finland,2021-10-01,Oxford/AstraZeneca,553123
Croatia,418028,8778.0,400965.0,8285.0,102636,2155.0,2916030.0,715955.0,4072923,Croatia,2021-10-01,Oxford/AstraZeneca,553112
Lithuania,353289,5248.0,317054.0,30987.0,132133,1963.0,5177576.0,1936461.0,2673731,Lithuania,2021-10-01,Oxford/AstraZeneca,533393
Chile,1663383,37571.0,1617035.0,8777.0,86072,1944.0,22435648.0,1160933.0,19325528,Chile,2021-10-01,Oxford/AstraZeneca,510616
Luxembourg,79196,837.0,77159.0,1200.0,123946,1310.0,3544032.0,5546607.0,638955,Luxembourg,2021-10-01,Pfizer/BioNTech,508127
Slovakia,425971,12735.0,395874.0,17362.0,77974,2331.0,3696429.0,676628.0,5463019,Slovakia,2021-10-01,Moderna,481586
Bulgaria,524333,21813.0,450662.0,51858.0,76193,3170.0,4990220.0,725153.0,6881611,Bulgaria,2021-10-01,Oxford/AstraZeneca,478260
Malta,37358,459.0,36233.0,666.0,84321,1036.0,1211456.0,2734392.0,443044,Malta,2021-10-01,Pfizer/BioNTech,459299
Belgium,1266562,25695.0,1181547.0,59320.0,108680,2205.0,20515224.0,1760359.0,11654000,Belgium,2021-10-01,Johnson&Johnson,377275
Croatia,418028,8778.0,400965.0,8285.0,102636,2155.0,2916030.0,715955.0,4072923,Croatia,2021-10-01,Moderna,327556
Iceland,12243,33.0,11762.0,448.0,35583,96.0,1087044.0,3159378.0,344069,Iceland,2021-10-01,Pfizer/BioNTech,324548
Slovenia,301644,4617.0,285345.0,11682.0,145070,2220.0,1621682.0,779916.0,2079303,Slovenia,2021-10-01,Oxford/AstraZeneca,321480
Austria,762538,11106.0,731698.0,19734.0,84054,1224.0,90613959.0,9988338.0,9071976,Austria,2021-10-01,Johnson&Johnson,311668
Bulgaria,524333,21813.0,450662.0,51858.0,76193,3170.0,4990220.0,725153.0,6881611,Bulgaria,2021-10-01,Moderna,301960
Latvia,172278,2806.0,152102.0,17370.0,92645,1509.0,4559609.0,2452003.0,1859545,Latvia,2021-10-01,Oxford/AstraZeneca,263429
Lithuania,353289,5248.0,317054.0,30987.0,132133,1963.0,5177576.0,1936461.0,2673731,Lithuania,2021-10-01,Moderna,262660
Cyprus,119812,560.0,90755.0,28497.0,98322,460.0,9420908.0,7731099.0,1218573,Cyprus,2021-10-01,Oxford/AstraZeneca,253947
Latvia,172278,2806.0,152102.0,17370.0,92645,1509.0,4559609.0,2452003.0,1859545,Latvia,2021-10-01,Moderna,246637
Czechia,1700078,30504.0,1659115.0,10459.0,158377,2842.0,38859317.0,3620092.0,10734345,Czechia,2021-10-01,Johnson&Johnson,236701
Estonia,165345,1400.0,149555.0,14390.0,124537,1054.0,1982689.0,1493355.0,1327674,Estonia,2021-10-01,Oxford/AstraZeneca,236265
Ireland,404514,5280.0,360033.0,39201.0,80772,1054.0,7616896.0,1520908.0,5008123,Ireland,2021-10-01,Johnson&Johnson,235618
Malta,37358,459.0,36233.0,666.0,84321,1036.0,1211456.0,2734392.0,443044,Malta,2021-10-01,Oxford/AstraZeneca,225251
Lithuania,353289,5248.0,317054.0,30987.0,132133,1963.0,5177576.0,1936461.0,2673731,Lithuania,2021-10-01,Johnson&Johnson,197964
Bulgaria,524333,21813.0,450662.0,51858.0,76193,3170.0,4990220.0,725153.0,6881611,Bulgaria,2021-10-01,Johnson&Johnson,195779
Slovenia,301644,4617.0,285345.0,11682.0,145070,2220.0,1621682.0,779916.0,2079303,Slovenia,2021-10-01,Moderna,187497
Denmark,364464,2671.0,354696.0,7097.0,62642,459.0,84336941.0,14495272.0,5818238,Denmark,2021-10-01,Oxford/AstraZeneca,154907
Hungary,829456,30303.0,789010.0,10143.0,86141,3147.0,7071702.0,734415.0,9629021,Hungary,2021-10-01,Johnson&Johnson,153817
Norway,193734,871.0,88952.0,103911.0,35383,159.0,7969322.0,1455498.0,5475323,Norway,2021-10-01,Oxford/AstraZeneca,145515
Estonia,165345,1400.0,149555.0,14390.0,124537,1054.0,1982689.0,1493355.0,1327674,Estonia,2021-10-01,Moderna,139333
Latvia,172278,2806.0,152102.0,17370.0,92645,1509.0,4559609.0,2452003.0,1859545,Latvia,2021-10-01,Johnson&Johnson,136981
Slovenia,301644,4617.0,285345.0,11682.0,145070,2220.0,1621682.0,779916.0,2079303,Slovenia,2021-10-01,Johnson&Johnson,121267
Iceland,12243,33.0,11762.0,448.0,35583,96.0,1087044.0,3159378.0,344069,Iceland,2021-10-01,Oxford/AstraZeneca,115479
Luxembourg,79196,837.0,77159.0,1200.0,123946,1310.0,3544032.0,5546607.0,638955,Luxembourg,2021-10-01,Oxford/AstraZeneca,105290
Croatia,418028,8778.0,400965.0,8285.0,102636,2155.0,2916030.0,715955.0,4072923,Croatia,2021-10-01,Johnson&Johnson,97048
Uruguay,390115,6064.0,382736.0,1315.0,111810,1738.0,3659251.0,1048767.0,3489097,Uruguay,2021-10-01,Oxford/AstraZeneca,86603
Slovakia,425971,12735.0,395874.0,17362.0,77974,2331.0,3696429.0,676628.0,5463019,Slovakia,2021-10-01,Johnson&Johnson,86042
Cyprus,119812,560.0,90755.0,28497.0,98322,460.0,9420908.0,7731099.0,1218573,Cyprus,2021-10-01,Moderna,85831
Luxembourg,79196,837.0,77159.0,1200.0,123946,1310.0,3544032.0,5546607.0,638955,Luxembourg,2021-10-01,Moderna,69853
Iceland,12243,33.0,11762.0,448.0,35583,96.0,1087044.0,3159378.0,344069,Iceland,2021-10-01,Moderna,62528
Iceland,12243,33.0,11762.0,448.0,35583,96.0,1087044.0,3159378.0,344069,Iceland,2021-10-01,Johnson&Johnson,53874
Estonia,165345,1400.0,149555.0,14390.0,124537,1054.0,1982689.0,1493355.0,1327674,Estonia,2021-10-01,Johnson&Johnson,51224
Denmark,364464,2671.0,354696.0,7097.0,62642,459.0,84336941.0,14495272.0,5818238,Denmark,2021-10-01,Johnson&Johnson,48330
Malta,37358,459.0,36233.0,666.0,84321,1036.0,1211456.0,2734392.0,443044,Malta,2021-10-01,Moderna,42940
Luxembourg,79196,837.0,77159.0,1200.0,123946,1310.0,3544032.0,5546607.0,638955,Luxembourg,2021-10-01,Johnson&Johnson,37543
Liechtenstein,3463,60.0,3384.0,19.0,90493,1568.0,49126.0,1283736.0,38268,Liechtenstein,2021-10-01,Moderna,30928
Malta,37358,459.0,36233.0,666.0,84321,1036.0,1211456.0,2734392.0,443044,Malta,2021-10-01,Johnson&Johnson,30697
Cyprus,119812,560.0,90755.0,28497.0,98322,460.0,9420908.0,7731099.0,1218573,Cyprus,2021-10-01,Johnson&Johnson,20704
Liechtenstein,3463,60.0,3384.0,19.0,90493,1568.0,49126.0,1283736.0,38268,Liechtenstein,2021-10-01,Pfizer/BioNTech,13705
Norway,193734,871.0,88952.0,103911.0,35383,159.0,7969322.0,1455498.0,5475323,Norway,2021-10-01,Johnson&Johnson,5076
Finland,147297,1100.0,46000.0,100197.0,26532,198.0,7202399.0,1297330.0,5551709,Finland,2021-10-01,Johnson&Johnson,0
Switzerland,850679,11146.0,796932.0,42601.0,97383,1276.0,11212163.0,1283535.0,8735375,Switzerland,2021-10-01,Johnson&Johnson,0
